[91 88 40]
[49 48 48]
[48 44 58]
[41 93  0.2339
 0.7865 -0.6536  0.6062
-0.8501 -0.9294  0.3190
-0.3915  0.2982 -0.1174
 0.1479 -0.3225 -0.4704
 0.7894  0.2171 -0.1673
 0.9217 -0.4238  0.7851
-0.2386  0.8475  0.1723
-0.2984 -0.4072 -0.3200
 0.2699 -0.7138  0.5592
-0.4383 -0.4081 -0.2100
-0.3656 -0.5321 -0.5272
-0.2454 -0.8477  0.6011
-0.5446 -0.6145 -0.4799
-0.8416  0.5044 -0.5570
 0.2433 -0.8327  0.5798
-0.9624 -0.7143  0.1210
-0.6002  0.3489 -0.4991
-0.1745  0.2165 -0.5407
 0.0809 -0.6624 -0.0821
-0.4755 -0.4562  0.2022
 0.4877 -0.2506  0.8664
 0.5034 -0.3244  0.5669
-0.5785  0.5554  0.5119
-0.3535  0.0768 -0.0477
-0.0243 -0.7970 -0.4095
-0.6994  0.0170  0.2251
-0.1342  0.6632 -0.5224
-0.6047 -0.7592  0.6952
-0.8726  0.7223 -0.8854
 0.9651 -0.0010 -0.1152
-0.1272 -0.4168 -0.3551
 0.9737  0.9918 -0.8600
-0.1601  0.0900 -0.3934
-0.4757 -0.2967  0.5263
-0.6394 -1.0000 -0.0207
-0.4401 -0.1685  0.7776
-0.9883  0.7065 -0.2831
 0.0523  0.6426  0.8889
-0.7058  0.9247  0.6490
 0.2124 -0.3400  0.5053
 0.7249 -0.0856 -0.0487
-0.9285  0.7188 -0.0671
 0.0017  0.5403  0.7198
-0.7932  0.0618  0.9913
 0.4171  0.4301  0.3595
 0.2074 -0.1202 -0.7096
-0.2917 -0.5776 -0.5875
 0.3964 -0.6396 -0.0557
 0.6684  0.7100  0.8166
 0.5152 -0.8488  0.8348
 0.4314  0.3525  0.0765
 0.9798 -0.7512  0.7845
-0.9498 -0.1174 -0.9746
 0.3762  0.3019  0.0918
 0.4023 -0.5422 -0.6936
-0.6886  0.0760 -0.8420
 0.8654 -0.7044 -0.0122
 0.7353 -0.3764 -0.9287
-0.5030 -0.2401  0.8178
 0.7066  0.4461 -0.7568
-0.0800 -0.2117  0.2056
 0.8780  0.1269  0.2141
 0.3623 -0.4955  0.0726
-0.7159  0.2469  0.0652
-0.8638 -0.9424 -0.6202
-0.5799 -0.1314  0.0091
-0.9638  0.3873 -0.7108
 0.9738  0.9181 -0.1726
-0.5042 -0.0392  0.8821
-0.6182 -0.8695 -0.5939
-0.4780 -0.9182  0.8305
-0.3096  0.2590  0.9263
-0.9697 -0.1735  0.7803
 0.7487  0.6209 -0.0764
-0.5322  0.2969 -0.6275
-0.5735 -0.7249  0.9940
 0.6340  0.3104  0.1786
 0.1863 -0.1380  0.0552
-0.3400 -0.5173  0.7021
 0.8281 -0.2425 -0.2369
 0.0491 -0.5650  0.9195
-0.6233  0.2086  0.7660
-0.1642 -0.3454 -0.4331
-0.2666  0.5630 -0.4037
 0.8245 -0.4897  0.1510
-0.8226  0.0347  0.9185
-0.6060  0.7115  0.1178
-0.0607  0.0030  0.7034
-0.8046  0.4780 -0.6623
-0.6448 -0.3394 -0.5710
-0.9663  0.3378 -0.0178
-0.1674 -0.2851  0.0126
-0.8106  0.1159  0.1615
 0.0266 -0.1549 -0.0713
-0.6698 -0.0506 -0.2014
 0.9999 -0.5672 -0.3521
-0.4367 -0.4642  0.3342
-0.4837  0.1972  0.3951
-0.1395 -0.9337  0.0291
-0.6130  0.2542 -0.3798
-0.5436 -0.8227 -0.8667
-0.4552  0.2490 -0.4649
 0.7254  0.8048 -0.0583
 0.1950  0.2780 -0.5001
-0.0088  0.3010 -0.9834
 0.0493  0.6134 -0.4074
-0.8353  0.3976  0.5295
-0.8671  0.9120  0.2273
-0.0390 -0.9452  0.5272
 0.8611 -0.6793  0.8686
-0.4298 -0.4968 -0.5046
-0.6284  0.6375  0.0654
 0.3373 -0.7088  0.6956
-0.1595 -0.9091 -0.9213
 0.8113 -0.6613  0.7123
-0.5506  0.0047  0.6043
 0.7815  0.4626  0.8220
-0.5472 -0.2036 -0.7185
-0.0667 -0.2201  0.5605
-0.8047 -0.5952  0.6162
-0.9951  0.7961  0.1398
-0.7017  0.4538  0.4365
-0.8611  0.0575 -0.6264
-0.6019  0.3865 -0.3678
 0.7292  0.1478 -0.6021
 0.2827 -0.2012 -0.9701
-0.2893 -0.2483  0.4547
-0.9143  0.8296  0.8583
 0.1126 -0.1442  0.8341
 0.9632 -0.7794  0.4046
-0.6817 -0.6772  0.2761
-0.5607  0.0692 -0.2996
 0.0108 -0.0274  0.8703
-0.8593  0.7622  0.1099
-0.6480  0.7333  0.3616
 0.6102  0.5475 -0.1437
-0.9104  0.2634 -0.8683
 0.1506 -0.6754  0.4276
-0.2482 -0.5665  0.8821
-0.8236 -0.7818  0.7489
 0.5208 -0.8113  0.1968
 0.4159 -0.0410  0.8124
-0.8170 -0.4005  0.1960
 0.9373  0.5102  0.3911
-0.5211 -0.1460  0.1701
-0.1011 -0.3023  0.6725
 0.6697  0.8560 -0.0043
 0.3995 -0.5300 -0.9082
-0.5189 -0.2114 -0.4538
-0.7677 -0.0273  0.6084
 0.9366 -0.2126 -0.7377
 0.5426 -0.7605  0.2453
 0.2027 -0.5340 -0.3711
 0.8157  0.0540  0.6156
 0.1670 -0.3212 -0.8893
-0.7196  0.4437  0.5067
 0.3326  0.1620  0.4809
 0.5081 -0.4648  0.8394
 0.5717  0.9073  0.6243
 0.0218  0.4417  0.5083
 0.2687 -0.6651 -0.4298
-0.2126  0.4759  0.1605
-0.9187 -0.9127 -0.7617
 0.7620 -0.5500  0.7841
 0.5683  0.4720 -0.8420
-0.1714  0.5776  0.0717
 0.7978 -0.9773 -0.2280
-0.7714  0.4516  0.7487
 0.9269 -0.4041 -0.9612
-0.9592 -0.7568 -0.5298
-0.9117  0.9068  0.4639
-0.0799  0.0891  0.4444
-0.9429 -0.9727  0.4836
-0.3326 -0.6967 -0.5273
 0.1830  0.6010  0.2256
-0.2195  0.1596 -0.9081
 0.0560 -0.9906 -0.2710
-0.4147  0.6728 -0.6391
 0.6293  0.6231  0.4262
 0.8945  0.5240  0.3003
 0.1611 -0.4239 -0.9232
-0.7184 -0.0826 -0.6469
-0.3491 -0.6356  0.6540
 0.7031 -0.2677 -0.7651
-0.1434  0.8413  0.0011
-0.7334 -0.0855  0.8459
 0.0845  0.6962 -0.4786
-0.8697  0.2116 -0.3514
-0.5462 -0.2160  0.3212
-0.9105  0.0428 -0.9333
-0.9155  0.0153  0.4076
-0.0340  0.4696  0.8711
 0.8965  0.2299  0.8712
-0.0245  0.1102 -0.4070
 0.6792  0.0135 -0.2118
 0.3182 -0.8948 -0.0002
 0.6336  0.7125  0.5826
 0.5187 -0.5771  0.6697
 0.7020 -0.5829  0.3398
 0.8301 -0.2556 -0.9080
-0.0711  0.4062  0.8622
-0.5629 -0.5143 -0.4634
-0.6382 -0.2016 -0.8095
-0.7139  0.7595 -0.3059
